Keyword Stats 2026-05-17 at 11_59_20
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
open source security	RON	500	0%	0%	Low	4	20.09	71.81																	
application security	RON	5000	0%	0%	Low	25	29.53	136.33																	
software security	RON	500	0%	-90%	Low	20	18.85	83.20																	
open source security tools	RON	500	0%	0%	Low	6	14.94	71.35																	
open source patch management	RON	500	900%	0%	Low	26	37.08	645.40																	
open source vulnerability management	RON	500	900%	0%	Low	19	16.47	108.95																	
open source security software	RON	50	0%	-90%	Low	18	12.40	54.25																	
vulnerability scanner open source	RON	500	0%	-90%	Medium	35	16.83	76.73																	
vulnerability scanning tools open source	RON	500	0%	0%	Low	15	24.07	111.47																	
vulnerability management software	RON	5000	900%	0%	Low	10	107.87	333.50																	
vulnerability management tools	RON	5000	0%	0%	Low	14	77.25	350.30																	
patch management	RON	5000	0%	0%	Medium	35	95.03	444.66																	
web application security	RON	500	900%	0%	Low	10	18.14	88.71																	
vulnerability management tools open source	RON	50	0%	0%	Low	13																			
patch management software open source	RON	50	0%	0%	Low	7	37.13	145.62																	
api security	RON	5000	0%	0%	Low	32	63.25	244.57																	
open source risk management software	RON	50	0%	-90%	Low	28	17.78	51.35																	
security testing	RON	5000	0%	0%	Low	7	14.32	66.74																	
web security	RON	5000	0%	0%	Low	20	19.59	85.78																	
open source compliance management software	RON	50	0%	0%	Medium	38	24.78	86.72																	
vulnerability management	RON	5000	0%	0%	Low	27	53.53	208.76																	
vulnerability management program	RON	500	0%	-90%	Low	11	67.96	290.05																	
security tools	RON	5000	900%	0%	Low	25	22.13	93.80																	
web application security solutions	RON	500	0%	0%	Low	0																			
github security	RON	500	0%	0%	Low	8	20.80	194.73																	
patch management tool	RON	500	0%	0%	Low	12	187.98	1120.33																	
software bom	RON	500	0%	-90%	Low	18	28.21	148.52																	
vulnerability management platform	RON	500	900%	900%	Low	3	97.96	462.90																	
patching software	RON	5000	900%	0%	Low	20	53.94	444.66																	
open source windows patch management	RON	50	0%	0%	Low	30	83.02	1020.46																	
open source compliance tools	RON	50	0%	0%	Medium	51	25.41	78.97																	
penetration testing tools open source	RON	50	0%	0%	Medium	39	28.99	143.24																	
secure software development	RON	500	0%	-90%	Low	8	27.11	123.31																	
api penetration testing	RON	500	0%	0%	Low	20	75.18	293.48																	
patch management systems	RON	500	900%	0%	Low	26	146.50	1881.90																	
pentest tools open source	RON	50	0%	0%	Medium	55	38.66	157.79																	
vulnerability remediation	RON	500	0%	-90%	Low	7	54.29	181.93																	
open source software security risks	RON	50	900%	0%	Low	4	21.71	127.96																	
vulnerability tools	RON	500	900%	0%	Medium	46	65.42	237.54																	
data security tools	RON	500	0%	0%	Low	8	55.89	138.65																	
open source web vulnerability scanner	RON	50	0%	0%	Low	30	26.03	84.14																	
vulnerability software	RON	500	0%	0%	Low	19	40.82	237.33																	
java vulnerability scanner	RON	50	0%	0%	Low	13	20.53	82.57																	
open source sso	RON	500	0%	0%	Low	22	10.32	44.47																	
free compliance management software	RON	50	0%	0%	Low	27	32.64	127.20																	
open source soc	RON	50	0%	0%	Medium	38	22.12	100.41																	
open source website vulnerability scanner	RON	50	0%	0%	Low	30	26.03	84.14																	
open source security foundation	RON	500	0%	0%	Low	5	31.95	125.07																	
oss security	RON	500	0%	0%	Low	10	4.89	22.01																	
security audit tools open source	RON	50	0%	0%	Medium	45	38.48	116.58																	
api security risks	RON	500	900%	0%	Low	4	18.50	166.17																	
vulnerability remediation tools	RON	500	0%	0%	Low	5	101.75	213.69																	
web application vulnerabilities	RON	500	0%	0%	Low	10	8.47	38.11																	
security patch management	RON	50	0%	-90%	Low	10	100.22	671.34																	
open source risk management	RON	50	0%	0%	Low	13	18.83	42.05																	
java vulnerability scanner open source	RON	50	∞	0%	Low	9																			
application security solutions	RON	500	0%	0%	Low	3	222.33	4446.65																	
web security tools	RON	500	0%	0%	Low	5	41.87	197.03																	
open source compliance software	RON	50	0%	0%	Low	20	12.59	117.06																	
