Keyword Stats 2026-05-17 at 12_03_20
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
angular developer	RON	500	0%	-90%	Low	15	3.72	112.37																	
hire angular developers	RON	500	0%	0%	Low	2	35.57	277.65																	
angular developers	RON	500	0%	-90%	Low	15	3.72	112.37																	
angular web development	RON	500	0%	0%	Low	11	11.91	93.82																	
angular dev	RON	500	0%	0%	Low	8	20.46	255.68																	
angular front end developer	RON	50	0%	-90%	Low	10																			
angular software engineer	RON	50	0%	0%	Low	15	5.59	77.30																	
angular software	RON	500	0%	0%	Low	6	8.87	43.94																	
angular programmer	RON	500	0%	0%	Low	8	4.45	40.39																	
angular front end	RON	500	0%	0%	Low	5	5.49	36.64																	
angular software developer	RON	50	0%	0%	Medium	64																			
angular web developer	RON	50	∞	0%	High	71																			
web development with angular	RON	50	0%	0%	Low	0																			
software developer angular	RON	50	∞	0%	Low	0																			
angular front end development	RON	50	0%	0%	Low	0																			
front end developer with angular	RON	0	0%	-100%	Unknown																				
best angular developers	RON	50	0%	-100%	Unknown																				
angular software development	RON	50	0%	0%	Low	15	13.61	58.38																	
angular for web development	RON	50	0%	0%	Low	3																			
angular developer required skills	RON	50	0%	0%	Low	0																			
angular developer work	RON	50	0%	-100%	Unknown																				
angular for front end developer	RON	0	0%	-100%	Unknown																				
angular in it	RON	50	0%	0%	Low	0																			
angular in software	RON	50	0%	0%	Low	0																			
angular in web development	RON	50	0%	0%	Low	19																			
angular skills	RON	50	900%	900%	Low	1																			
angular web app development	RON	500	900%	0%	Low	1																			
angular web applications	RON	50	0%	0%	Low	2																			
house of angular	RON	50	0%	0%	Low	2																			
middle angular developer	RON	50	0%	0%	Unknown																				
skills for angular developer	RON	50	0%	-100%	Unknown																				
skills required for angular developer	RON	50	0%	-100%	Unknown																				
use of angular in web development	RON	50	0%	-100%	Unknown																				
