Keyword Stats 2026-05-17 at 12_01_26
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
patch management	RON	5000	0%	0%	Medium	35	95.03	444.66																	
linux patch management	RON	500	0%	0%	Low	10	44.48	237.95																	
patch management system	RON	500	900%	0%	Low	26	146.50	1881.90																	
kernel care	RON	50	0%	0%	Low	10																			
software patch management	RON	5000	900%	0%	Low	18	150.03	841.02																	
patching software	RON	5000	900%	0%	Low	20	53.94	444.66																	
windows patch management software	RON	500	0%	0%	Low	15	116.71	444.66																	
patch management tools	RON	500	0%	0%	Low	12	187.98	1120.33																	
open source patch management	RON	500	900%	0%	Low	26	37.08	645.40																	
windows patch management	RON	500	0%	0%	Low	15	116.71	444.66																	
patch management solutions	RON	500	0%	0%	Low	15	153.23	975.73																	
server patch management	RON	50	0%	-90%	Low	11	266.09	2044.10																	
free patch management software	RON	50	0%	-90%	Medium	57	68.28	1111.66																	
linux patching	RON	500	0%	0%	Low	16	34.02	139.51																	
cloud patch management	RON	500	0%	0%	Low	4	85.40	444.66																	
automated patch management software	RON	500	900%	0%	Low	5	193.41	1727.88																	
patch management software open source	RON	50	0%	0%	Low	7	37.13	145.62																	
automate patch management	RON	50	900%	900%	Low	12	135.82	1089.96																	
enterprise patch management	RON	500	0%	-90%	Medium	35	120.54	1110.86																	
windows patch management solutions	RON	50	0%	0%	Low	9																			
enterprise patch management software	RON	50	0%	0%	Low	5																			
vulnerability management	RON	5000	0%	0%	Low	27	53.53	208.76																	
vulnerability and patch management	RON	500	0%	0%	Low	12	98.49	545.22																	
automox patch management	RON	50	0%	0%	Medium	36	107.74	324.49																	
tanium patch management	RON	500	-90%	-90%	Medium	59	32.32	142.29																	
patch management in cyber security	RON	50	900%	900%	Low	23	30.82	232.16																	
windows server patch management	RON	50	900%	900%	Low	21	130.55	515.28																	
vulnerability management tools	RON	5000	0%	0%	Low	14	77.25	350.30																	
open source security	RON	500	0%	0%	Low	4	20.09	71.81																	
remote patch management	RON	50	0%	0%	Low	6																			
vulnerability management software	RON	5000	900%	0%	Low	10	107.87	333.50																	
server patching	RON	500	0%	0%	Low	27	50.24	398.04																	
windows patch management tools	RON	50	900%	0%	Low	12	104.83	504.24																	
linux patch management open source	RON	50	0%	0%	Low	21	38.34	339.32																	
vulnerability management lifecycle	RON	500	900%	0%	Low	11	16.69	87.91																	
automated patching tools	RON	50	0%	0%	Medium	35	154.55	898.62																	
linux patch management tools	RON	500	900%	0%	Low	12	32.07	306.48																	
saas patch management	RON	50	-100%	-100%	Unknown																				
security testing	RON	5000	0%	0%	Low	7	14.32	66.74																	
open source windows patch management	RON	50	0%	0%	Low	30	83.02	1020.46																	
security patch management	RON	50	0%	-90%	Low	10	100.22	671.34																	
network patch management	RON	50	0%	0%	Medium	62																			
linux patch management software	RON	500	0%	0%	Low	10	44.48	237.95																	
software security	RON	500	0%	-90%	Low	20	18.85	83.20																	
vulnerability scanner open source	RON	500	0%	-90%	Medium	35	16.83	76.73																	
open source vulnerability management	RON	500	900%	0%	Low	19	16.47	108.95																	
cybersecurity software	RON	50000	0%	0%	Low	13	31.35	106.05																	
web security	RON	5000	0%	0%	Low	20	19.59	85.78																	
network security	RON	50000	0%	0%	Low	7	22.07	91.15																	
it patch management	RON	50	0%	0%	Low	19	177.87	1247.45																	
cybersecurity tools	RON	5000	0%	0%	Low	16	21.59	96.00																	
vulnerability scanner	RON	5000	0%	0%	Low	24	54.13	235.68																	
enterprise patching solutions	RON	50	0%	0%	High	73	65.72	497.54																	
vulnerability management system	RON	5000	0%	0%	Low	15	21.65	152.79																	
vulnerability management in cyber security	RON	500	900%	0%	Low	14	45.24	166.08																	
cloud security	RON	5000	0%	-90%	Low	21	45.33	123.26																	
it cyber security	RON	5000	0%	0%	Low	32	29.44	144.72																	
windows patch management tools free	RON	50	0%	0%	Low	17	58.49	149.59																	
patching linux servers	RON	50	0%	0%	Low	27	46.02	233.27																	
automox patching	RON	50	0%	0%	Medium	56	115.61	217.35																	
vulnerability remediation	RON	500	0%	-90%	Low	7	54.29	181.93																	
security tools	RON	5000	900%	0%	Low	25	22.13	93.80																	
vulnerability management platform	RON	500	900%	900%	Low	3	97.96	462.90																	
patch management and vulnerability management	RON	500	0%	0%	Low	12	98.49	545.22																	
software supply chain	RON	500	0%	-90%	Low	17	30.90	99.97																	
website vulnerability scanner	RON	5000	900%	0%	Medium	36	29.91	136.98																	
vulnerability management solutions	RON	500	0%	0%	Low	4	129.01	362.58																	
automated patching	RON	500	0%	0%	Medium	45	33.18	145.00																	
free windows patch management	RON	50	0%	0%	Medium	55	25.26	192.20																	
open source security tools	RON	500	0%	0%	Low	6	14.94	71.35																	
website security	RON	5000	0%	0%	Low	20	19.59	85.78																	
vulnerability scanner tools	RON	5000	0%	0%	Low	17	57.85	253.52																	
cyber security applications	RON	500	0%	0%	Low	14	29.09	174.71																	
vulnerability testing	RON	500	0%	-90%	Low	22	34.19	176.86																	
cyber security course	RON	50000	0%	0%	Medium	51	13.93	66.47																	
cloud patching solution	RON	50	0%	0%	Low	10																			
online vulnerability scanner	RON	500	0%	-90%	Low	24	27.47	138.99																	
patch deployment software	RON	50	0%	0%	Low	8																			
