Keyword Stats 2026-05-12 at 15_55_49
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
angular signals	RON	5000	0%	0%	Low	2	4.42	19.59																	
angular standalone components	RON	500	0%	0%	Low	1																			
angular upgrade	RON	500	-90%	0%	Low	1	34.12	63.64																	
upgrade angularjs to angular	RON	50	0%	0%	Low	1																			
standalone components angular	RON	500	-90%	-90%	Low	0																			
angular 14 standalone components	RON	50	-100%	-100%	Unknown																				
angularjs to angular upgrade	RON	50	0%	0%	Low	0																			
angular update	RON	500	0%	0%	Low	0																			
upgrade from angularjs to angular	RON	50	0%	0%	Low	9	76.56	220.98																	
angular standalone	RON	500	0%	0%	Low	0																			
standalone component angular	RON	500	-90%	-90%	Low	0																			
angular upgrade guide	RON	500	0%	0%	Low	0																			
angular 11 to 12 upgrade	RON	50	-100%	-100%	Unknown																				
angular 12 to 14 upgrade	RON	50	-100%	0%	Unknown																				
angular 12 update	RON	50	0%	-100%	Unknown																				
angular 12 upgrade	RON	50	0%	-100%	Unknown																				
angular 14 standalone	RON	50	0%	-100%	Unknown																				
angular 14 standalone component	RON	50	∞	∞	Low	0																			
angular 14 standalone components example	RON	50	0%	0%	Unknown																				
angular 14 standalone components lazy loading	RON	50	0%	0%	Unknown																				
angular 14 standalone components stackblitz	RON	50	0%	0%	Unknown																				
angular 14 upgrade	RON	50	0%	0%	Low	0																			
angular 15 standalone components	RON	50	∞	0%	Low	0																			
angular 15 upgrade	RON	50	0%	-100%	Unknown																				
angular 7 to 14 upgrade	RON	50	-100%	0%	Unknown																				
angular bootstrap standalone component	RON	50	∞	0%	Low	0																			
angular component standalone	RON	50	0%	0%	Low	2																			
angular create standalone component	RON	50	0%	0%	Low	0																			
angular generate standalone component	RON	50	0%	0%	Low	0																			
angular io upgrade	RON	50	0%	0%	Low	0																			
angular lazy load standalone component	RON	50	0%	0%	Low	0																			
angular material standalone	RON	50	0%	0%	Low	0																			
angular material standalone components	RON	50	0%	0%	Low	0																			
angular material update	RON	50	0%	0%	Low	0																			
angular ngupgrade	RON	50	0%	0%	Low	10																			
angular onesignal	RON	50	0%	0%	Unknown																				
angular signal	RON	500	0%	0%	Low	1																			
angular signal r	RON	50	0%	-90%	Low	0																			
angular stand alone component	RON	50	∞	0%	Low	0																			
angular standalone api	RON	50	∞	0%	Low	0																			
angular standalone app	RON	50	0%	0%	Low	0																			
angular standalone component advantages	RON	50	-100%	-100%	Unknown																				
angular standalone component benefits	RON	50	∞	0%	Low	0																			
angular standalone component example	RON	50	0%	0%	Low	0																			
angular standalone component lazy loading	RON	50	∞	0%	Low	0																			
angular standalone component providers	RON	50	-100%	-100%	Unknown																				
angular standalone component routing	RON	50	0%	0%	Low	0																			
angular standalone component testing	RON	50	∞	0%	Low	0																			
angular standalone components routing	RON	50	-100%	-100%	Unknown																				
angular standalone directive	RON	50	0%	0%	Low	0																			
angular standalone form control	RON	50	0%	0%	Low	0																			
angular standalone router	RON	50	0%	-100%	Unknown																				
angular standalone routing	RON	50	0%	0%	Low	0																			
angular standalone service	RON	50	0%	0%	Low	2																			
angular standalone true	RON	50	0%	0%	Low	0																			
angular test standalone component	RON	50	0%	0%	Low	0																			
angular testing standalone component	RON	50	0%	-100%	Unknown																				
angular update 14 to 15	RON	50	0%	-100%	Unknown																				
angular update cli	RON	50	0%	0%	Low	1																			
angular update guide	RON	500	0%	0%	Low	0																			
angular update typescript	RON	50	0%	0%	Low	0																			
angular upgrade 12 to 14	RON	50	0%	0%	Unknown																				
angular upgrade 14 to 15	RON	50	0%	0%	Low	0																			
angular upgrade 9 to 10	RON	50	0%	0%	Low	0																			
angular upgrade 9 to 14	RON	50	-100%	0%	Unknown																				
angular upgrade from 7 to 8	RON	50	-100%	-100%	Unknown																				
angular upgrade project	RON	50	0%	-100%	Unknown																				
angular upgrade to latest version	RON	50	0%	0%	Low	0																			
angular upgrade typescript	RON	50	0%	0%	Low	0																			
angular version 10	RON	50	0%	0%	Low	0																			
angular version 4	RON	50	∞	0%	Low	3																			
angular version update	RON	50	0%	0%	Low	0																			
angularjs upgrade to angular	RON	50	0%	0%	Low	3																			
create standalone component angular	RON	50	-100%	-100%	Unknown																				
firebase update cli	RON	50	0%	0%	Low	0																			
https update angular io	RON	50	-100%	0%	Unknown																				
ionic update angular	RON	50	0%	0%	Unknown																				
ionic upgrade angular version	RON	50	-100%	-100%	Unknown																				
migrate angular	RON	50	0%	0%	Low	4																			
ng cli version	RON	50	0%	0%	Low	0																			
ng upgrade angularjs to angular	RON	50	0%	0%	Unknown																				
ngupgrade angular	RON	50	0%	0%	Low	0																			
ngupgrade in angular	RON	50	0%	-100%	Unknown																				
nx upgrade angular 13	RON	0	0%	0%	Unknown																				
nx upgrade angular 14	RON	0	0%	-100%	Unknown																				
one signal angular	RON	50	0%	0%	Low	0																			
stand alone angular	RON	50	-100%	-100%	Unknown																				
stand alone component angular	RON	50	0%	0%	Low	0																			
stand alone component in angular	RON	50	0%	0%	Low	0																			
stand alone components angular	RON	50	0%	-100%	Unknown																				
standalone angular app	RON	50	-100%	-100%	Unknown																				
standalone angular component	RON	50	0%	0%	Low	0																			
standalone angular template	RON	0	0%	0%	Unknown																				
standalone component	RON	50	0%	0%	Low	0																			
standalone component angular 14	RON	50	0%	0%	Unknown																				
standalone component in angular	RON	50	0%	0%	Low	0																			
standalone components angular 14	RON	50	0%	0%	Low	0																			
standalone components angular 15	RON	50	0%	-100%	Unknown																				
standalone components angular example	RON	50	0%	0%	Low	0																			
standalone components angular stackblitz	RON	50	0%	-100%	Unknown																				
standalone components in angular	RON	50	0%	0%	Low	0																			
standalone directive angular	RON	50	0%	0%	Low	0																			
standalone pipe angular	RON	50	0%	0%	Low	0																			
standalone true angular	RON	50	0%	0%	Low	0																			
