Keyword Stats 2026-05-12 at 15_59_47
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
angular consulting	RON	50	900%	0%	Low	4	41.19	265.18																	
angular audit	RON	50	0%	0%	Low	0																			
freelance angular	RON	50	0%	0%	Low	0																			
angular devs	RON	500	0%	0%	Low	14	10.73	127.11																	
angular consulting services	RON	50	0%	0%	Low	5																			
angular advisory	RON	50	0%	0%	Low	2																			
angular 4 consulting	RON	50	0%	0%	Low	0																			
angular interview questions toptal	RON	0	0%	-100%	Unknown																				
angularjs consulting services	RON	50	0%	0%	Low	0																			
angular developer hire	RON		 --	 --	Unknown																				
frontend modernization	RON		 --	 --	Unknown																				
