Keyword Stats 2026-05-12 at 16_12_00
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
ux design kurs	RON	50	0%	0%	Unknown																				
designer ux	RON	500	0%	0%	Low	27	0.94	3.56																	
designer ux ui	RON	500	0%	0%	Medium	39	1.03	4.01																	
ui ux kurs	RON	0	0%	0%	Unknown																				
ux test	RON	50	0%	0%	Low	4																			
ui ux design kurs online	RON	50	-100%	0%	Unknown																				
web designer ux ui	RON	50	0%	0%	High	86																			
curs ui ux	RON	50	0%	0%	High	82	1.83	6.18																	
ux web	RON	50	0%	0%	Low	31																			
webdesign ui ux	RON	50	0%	0%	High	86																			
ux ui design definition	RON	50	0%	0%	Unknown																				
ux ui mobile	RON	50	0%	0%	Unknown																				
ux it	RON	50	∞	0%	Low	29																			
job ux	RON	50	0%	0%	Low	11	0.54	8.52																	
grid html css	RON	50	∞	0%	Low	0																			
ux site	RON	50	0%	0%	Low	31																			
ux mobile	RON	50	0%	∞	Low	2																			
uiux web	RON	50	0%	0%	Low	25																			
ux ui web	RON	50	∞	∞	Medium	50	1.68	2.86																	
css3 grid	RON	50	0%	0%	Unknown																				
framework web javascript	RON	50	∞	∞	Low	0																			
grid html5	RON	50	0%	-100%	Unknown																				
header flexbox	RON	50	∞	∞	Low	0																			
interface ui ux	RON	50	∞	∞	Medium	43																			
interface ux	RON	50	∞	0%	Low	0																			
next js vscode	RON	50	0%	0%	Unknown																				
server render	RON	50	0%	0%	Low	21																			
sidebar flexbox	RON	0	0%	0%	Unknown																				
ui ux designer stage	RON		 --	 --	Unknown																				
ui ux gui	RON	50	0%	0%	Unknown																				
ux user	RON	50	0%	0%	Low	0																			
