Keyword Stats 2026-05-12 at 16_14_34
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
open source software	RON	500	0%	0%	Low	6	1.72	6.17																	
open source	RON	500	0%	0%	Low	9	1.88	6.10																	
open source security	RON	50	∞	0%	Low	0																			
open source vulnerability management	RON	50	0%	0%	Unknown																				
open source knowledge base	RON	50	0%	0%	Medium	57	1.67	6.18																	
open source security software	RON	50	0%	0%	Unknown																				
open source code	RON	50	0%	0%	Low	0																			
open source case management software	RON	50	0%	0%	Unknown																				
open source website	RON	50	0%	0%	Low	6																			
open source licenses	RON	50	0%	0%	Low	0																			
free open source software	RON	50	0%	0%	Low	0																			
open source risk management software	RON	50	∞	0%	Low	0																			
open source projects for beginners	RON	50	∞	0%	Low	0																			
angularjs support	RON	50	0%	0%	Low	0																			
github open source	RON	50	0%	0%	Low	0																			
open source software list	RON	50	0%	0%	Low	0																			
knowledge base software open source	RON	50	0%	0%	Low	21																			
open source database	RON	50	0%	0%	Low	13																			
log management open source	RON	50	0%	0%	High	71																			
xlts angularjs	RON	50	0%	0%	Unknown																				
open source compliance tools	RON	50	0%	0%	Unknown																				
open software	RON	50	0%	0%	Low	3																			
angularjs end of life	RON	50	0%	0%	Low	0																			
github open source projects	RON	50	0%	0%	Low	0																			
open source projects to contribute	RON	50	0%	0%	Low	0																			
open source compliance	RON	50	∞	0%	Low	0																			
open source software security risks	RON	50	0%	0%	Unknown																				
open source web vulnerability scanner	RON	50	0%	-100%	Unknown																				
open source search	RON	50	∞	0%	Low	0																			
open source applications	RON	50	∞	0%	High	71																			
open source log server	RON	50	∞	0%	Low	14																			
open source software download	RON	50	-100%	-100%	Unknown																				
software licenses	RON	50	0%	0%	High	83	1.58	4.55																	
angularjs extended support	RON	50	∞	∞	Low	0																			
opensource projects	RON	50	0%	0%	Low	0																			
open source code scanning tools	RON	50	0%	0%	Unknown																				
jfrog open source	RON	50	0%	0%	Low	14																			
open source customer portal	RON	50	-100%	-100%	Unknown																				
open source business software	RON	50	∞	∞	High	86																			
open source sso	RON	50	0%	0%	Low	0																			
open source soc	RON	50	0%	∞	Low	14																			
documentation software open source	RON	50	0%	-100%	Unknown																				
open source client portal	RON	50	0%	0%	Unknown																				
log management tools open source	RON	50	0%	0%	Unknown																				
open source security foundation	RON	50	-100%	0%	Unknown																				
open source portal	RON	50	0%	0%	Unknown																				
artifactory open source	RON	50	-100%	-100%	Unknown																				
no code platform open source	RON	0	0%	0%	Unknown																				
oss security	RON	50	0%	0%	Low	3																			
open source subscription management	RON	50	0%	0%	Unknown																				
open source platform	RON	50	0%	0%	Low	25																			
open source tools	RON	50	0%	0%	Low	0																			
open source software development	RON	50	-100%	-100%	Unknown																				
no code open source	RON	50	0%	0%	Unknown																				
open source apps	RON	50	0%	0%	Low	1																			
foss software	RON	50	0%	0%	Low	0																			
open source documentation tools	RON	50	∞	0%	Low	4																			
open source client management software	RON	50	0%	0%	Medium	37	5.07	20.97																	
open source risk management	RON	50	0%	0%	Unknown																				
open source download	RON	50	0%	0%	Low	0																			
drupal 7 support	RON	50	0%	0%	Unknown																				
open source compliance software	RON	50	0%	-100%	Unknown																				
log viewer open source	RON	50	-100%	0%	Unknown																				
open source vulnerability	RON	50	∞	0%	Low	0																			
open source security platform	RON	50	0%	0%	Unknown																				
open source software risks	RON	50	∞	∞	Low	0																			
soc open source	RON	50	0%	∞	Low	14																			
oss scan	RON	50	0%	0%	Low	7																			
open source webshop	RON	50	0%	-100%	Unknown																				
oss software	RON	500	0%	0%	Low	6	1.72	6.17																	
open source customer service software	RON	50	-100%	0%	Unknown																				
free knowledge base software open source	RON	50	∞	∞	Low	0																			
open source software risk assessment	RON	0	0%	0%	Unknown																				
