Keyword Stats 2026-05-17 at 18_51_39
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
angular performance optimization	RON	50	0%	0%	Low	24	8.32	88.93																	
angular ssr	RON	500	0%	0%	Low	0																			
angular hydration	RON	50	0%	-90%	Low	0																			
angular lazy loading	RON	500	0%	0%	Low	0																			
angular bundle size	RON	50	0%	0%	Low	0																			
angular server side rendering	RON	500	0%	0%	Low	0																			
optimize angular application	RON	50	0%	0%	Low	14																			
improve angular performance	RON	50	0%	0%	Low	0																			
server side rendering angular	RON	500	0%	0%	Low	0																			
angular application performance improvement	RON	50	0%	0%	Low	2																			
performance optimization in angular	RON	50	0%	0%	Low	13																			
improve performance of angular application	RON	50	0%	0%	Low	7																			
angular 12 lazy loading	RON	50	-100%	-100%	Unknown																				
angular 13 lazy load component	RON	0	0%	0%	Unknown																				
angular 13 lazy loading	RON	50	0%	0%	Unknown																				
angular 13 reduce bundle size	RON	50	0%	0%	Unknown																				
angular 13 ssr	RON	50	-100%	0%	Unknown																				
angular 14 lazy load component	RON	0	0%	0%	Unknown																				
angular 14 lazy loading	RON	50	0%	-100%	Unknown																				
angular 14 standalone components lazy loading	RON	50	0%	0%	Unknown																				
angular 15 ssr	RON	50	∞	0%	Low	0																			
angular 8 performance optimization	RON	50	0%	-100%	Unknown																				
angular 9 performance optimization	RON	0	0%	-100%	Unknown																				
angular analyze bundle size	RON	50	0%	0%	Low	0																			
angular app optimization	RON	50	-100%	-100%	Unknown																				
angular app performance optimization	RON	50	0%	0%	Low	21																			
angular application performance	RON	50	∞	0%	Low	0																			
angular build optimization	RON	50	0%	0%	Low	6																			
angular build ssr	RON	50	0%	0%	Low	0																			
angular bundle size analyzer	RON	50	0%	0%	Low	0																			
angular bundle size optimization	RON	50	∞	0%	Low	0																			
angular client side rendering	RON	50	0%	0%	Low	0																			
angular component lazy loading	RON	50	0%	0%	Low	0																			
angular elements bundle size	RON	50	-100%	0%	Unknown																				
angular image lazy loading	RON	50	-100%	-100%	Unknown																				
angular improve performance	RON	50	∞	0%	Low	5																			
angular increase performance	RON	0	0%	-100%	Unknown																				
angular lazy component	RON	50	0%	-100%	Unknown																				
angular lazy load component	RON	50	0%	0%	Low	1																			
angular lazy load component with routing	RON	50	0%	0%	Low	0																			
angular lazy load component without routing	RON	50	-100%	-100%	Unknown																				
angular lazy load module	RON	50	0%	0%	Low	0																			
angular lazy load module without router	RON	0	0%	-100%	Unknown																				
angular lazy load standalone component	RON	50	0%	0%	Low	0																			
angular lazy loading example	RON	50	0%	0%	Low	0																			
angular lazy loading images	RON	50	0%	0%	Low	0																			
angular lazy loading module with multiple components	RON	50	0%	-100%	Unknown																				
angular lazy loading routes	RON	50	0%	0%	Low	0																			
angular lazy loading tutorial	RON	50	0%	0%	Unknown																				
angular lazy module	RON	50	0%	0%	Low	0																			
angular lazyload	RON	50	0%	0%	Low	0																			
angular load	RON	50	0%	0%	Low	1																			
angular load component	RON	50	0%	0%	Low	0																			
angular loadchildren	RON	50	0%	0%	Low	0																			
angular material bundle size	RON	50	∞	0%	Low	0																			
angular material lazy loading	RON	50	0%	-100%	Unknown																				
angular material table lazy loading	RON	50	0%	0%	Low	0																			
angular material table pagination lazy loading	RON	50	0%	0%	Unknown																				
angular module lazy loading	RON	50	∞	0%	Low	0																			
angular on component load	RON	50	0%	0%	Low	0																			
angular optimization techniques	RON	50	0%	0%	Low	5																			
angular optimize bundle size	RON	50	-100%	-100%	Unknown																				
angular optimize performance	RON	50	0%	-100%	Unknown																				
angular performance best practices	RON	50	-100%	-100%	Unknown																				
angular performance improvement	RON	50	0%	0%	Low	0																			
angular performance optimization techniques	RON	50	0%	0%	Low	15																			
angular performance tuning	RON	50	∞	0%	Low	2																			
angular pre rendering	RON	50	0%	0%	Low	5																			
angular reduce bundle size	RON	50	0%	0%	Low	0																			
angular render server side	RON	50	∞	0%	Low	0																			
angular route lazy loading	RON	50	-100%	-100%	Unknown																				
angular router loadchildren	RON	50	0%	0%	Low	0																			
angular server rendering	RON	50	0%	0%	Low	0																			
angular server side	RON	50	0%	0%	Low	2																			
angular server side render	RON	50	0%	-100%	Unknown																				
angular server side rendering example	RON	50	0%	0%	Low	0																			
angular ssr build production	RON	50	0%	-100%	Unknown																				
angular ssr docker	RON	50	0%	0%	Low	0																			
angular ssr example	RON	50	0%	0%	Low	2																			
angular ssr firebase	RON	50	-100%	-100%	Unknown																				
angular ssr firebase hosting	RON	50	∞	0%	Low	0																			
angular ssr framework	RON	50	0%	0%	Low	0																			
angular ssr lazy loading	RON	50	0%	-100%	Unknown																				
angular ssr net core	RON	50	-100%	-100%	Unknown																				
angular ssr nginx	RON	50	-100%	-100%	Unknown																				
angular ssr performance	RON	50	0%	-100%	Unknown																				
angular ssr production	RON	50	0%	0%	Low	0																			
angular ssr tutorial	RON	50	0%	0%	Low	3																			
angular standalone component lazy loading	RON	50	∞	0%	Low	0																			
angular table lazy loading	RON	50	0%	-100%	Unknown																				
angular universal firebase	RON	50	0%	-100%	Unknown																				
angular universal lazy loading	RON	0	0%	-100%	Unknown																				
angular universal performance	RON	50	-100%	0%	Unknown																				
angular universal server side rendering	RON	50	0%	0%	Low	0																			
angular universal ssr	RON	50	0%	0%	Low	0																			
angular use component from another module lazy loaded	RON	0	0%	0%	Unknown																				
angular webpack analyzer	RON	50	∞	0%	Low	0																			
angular webpack bundle analyzer	RON	50	0%	0%	Low	5																			
angularjs ssr	RON	50	0%	0%	Low	0																			
axlazyelement	RON	50	-100%	-100%	Unknown																				
blazor bundle size	RON	50	0%	0%	Low	0																			
bundle analyzer angular	RON	50	0%	0%	Low	9																			
client side rendering angular	RON	50	-100%	-100%	Unknown																				
component lazy loading angular	RON	0	0%	0%	Unknown																				
image lazy loading angular	RON	50	0%	-100%	Unknown																				
implement lazy loading in angular	RON	50	0%	0%	Low	0																			
improve angular app performance	RON	50	-100%	-100%	Unknown																				
improve performance angular	RON	50	0%	-100%	Unknown																				
improve performance in angular	RON	50	∞	0%	Low	0																			
increase angular performance	RON	50	0%	0%	Low	0																			
increase performance of angular app	RON	50	0%	-100%	Unknown																				
increase performance of angular application	RON	50	0%	-100%	Unknown																				
ionic server side rendering	RON	50	∞	0%	Low	0																			
lazy angular	RON	50	0%	-100%	Unknown																				
lazy component angular	RON	50	0%	0%	Unknown																				
lazy load angular component	RON	50	0%	0%	Low	0																			
lazy load component angular	RON	50	0%	0%	Low	0																			
lazy load in angular	RON	500	900%	0%	Low	0																			
lazy load module angular	RON	50	0%	0%	Low	0																			
lazy loading angular 12	RON	50	0%	-100%	Unknown																				
lazy loading angular 13	RON	50	0%	0%	Unknown																				
lazy loading angular 14	RON	50	0%	0%	Unknown																				
lazy loading angular example	RON	50	0%	0%	Low	0																			
lazy loading component in angular	RON	50	-100%	-100%	Unknown																				
lazy loading example in angular	RON	50	0%	-100%	Unknown																				
lazy loading images in angular	RON	50	0%	-100%	Unknown																				
lazy loading in angular 10	RON	50	0%	0%	Unknown																				
lazy loading in angular 12	RON	50	0%	0%	Unknown																				
lazy loading in angular 13	RON	50	0%	-100%	Unknown																				
lazy loading in angular 6	RON	0	0%	0%	Unknown																				
lazy loading in angular 8	RON	50	0%	0%	Unknown																				
lazy loading in angular 8 example	RON	50	0%	0%	Unknown																				
lazy loading in angular 9	RON	50	0%	0%	Unknown																				
lazy loading in angular example	RON	50	0%	0%	Low	0																			
lazy loading in angular interview questions	RON	50	0%	-100%	Unknown																				
lazy loading in angular with example	RON	50	0%	0%	Low	0																			
lazy loading module in angular	RON	50	0%	0%	Low	0																			
lazy loading routes	RON	50	0%	0%	Low	0																			
lazy loading routes angular	RON	50	0%	0%	Low	0																			
lazy loading syntax in angular 8	RON	0	0%	0%	Unknown																				
lazy loading table angular	RON	50	0%	0%	Unknown																				
lazy module angular	RON	50	0%	0%	Unknown																				
lazy module in angular	RON	50	0%	-100%	Unknown																				
lazy routing in angular	RON	50	∞	0%	Low	0																			
lazyload angular	RON	50	0%	0%	Low	0																			
loadchildren angular	RON	50	0%	0%	Low	0																			
loading in angular	RON	50	0%	0%	Low	0																			
module lazy loading angular	RON	50	-100%	-100%	Unknown																				
nestjs angular ssr	RON	50	0%	0%	Low	3																			
