Keyword Stats 2026-05-17 at 18_56_44
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
typescript migration	RON	50	0%	0%	Low	0																			
javascript to typescript	RON	500	0%	0%	Low	3																			
micro frontend angular	RON	500	-90%	-90%	Low	5	5.93	34.33																	
module federation angular	RON	500	0%	0%	Low	0																			
frontend architecture patterns	RON	50	0%	0%	Low	8	4.70	20.56																	
typescript	RON	50000	0%	0%	Low	3	3.10	37.66																	
next js typescript	RON	500	0%	0%	Low	2	6.85	57.84																	
codecademy typescript	RON	500	0%	0%	Low	13	5.11	14.68																	
typescript react	RON	500	0%	0%	Low	6	3.29	28.53																	
angular micro frontend	RON	500	0%	0%	Low	2																			
typescript codecademy	RON	500	0%	0%	Low	13	5.11	14.68																	
typescript for beginners	RON	50	0%	-90%	Low	26	3.54	13.24																	
typescript download	RON	500	0%	0%	Low	8	12.85	53.89																	
angular typescript	RON	500	0%	0%	Low	2	10.23	23.09																	
nodejs typescript	RON	500	0%	-90%	Low	1	4.57	57.08																	
micro frontend architecture angular	RON	50	0%	0%	Low	4																			
best editor for typescript	RON	50	0%	0%	Low	17																			
typescript compiler	RON	5000	0%	-90%	Low	2	6.66	35.05																	
vue js typescript	RON	50	0%	0%	Low	2																			
typescript w3schools	RON	500	0%	0%	Low	1																			
typescript and react	RON	500	0%	0%	Low	8	5.75	17.46																	
microfrontend angular	RON	500	-90%	-90%	Low	5	5.93	34.33																	
sonarcloud typescript	RON	50	0%	-100%	Unknown																				
effective typescript	RON	500	0%	0%	Low	30	1.06	8.65																	
typescript find	RON	500	0%	0%	Low	0																			
launchdarkly typescript	RON	50	0%	0%	Low	0																			
micro front end angular	RON	50	0%	0%	Low	3																			
react js typescript	RON	5000	0%	0%	Low	6	5.04	58.30																	
typescript for dummies	RON	50	0%	0%	Low	29	2.31	10.55																	
microfrontends angular	RON	50	0%	0%	Low	7																			
angular module federation	RON	500	0%	0%	Low	0																			
react com typescript	RON	50	∞	0%	Low	0																			
typescript github	RON	500	0%	-90%	Low	0																			
nx module federation	RON	500	0%	-90%	Low	0																			
tableau typescript	RON	50	∞	∞	Low	0																			
angular micro frontend architecture	RON	50	0%	0%	Low	2																			
javascript typescript	RON	500	0%	-90%	Low	2	5.56	32.84																	
sentry node typescript	RON	50	0%	-100%	Unknown																				
typescript websocket	RON	50	0%	-90%	Low	0																			
salesforce typescript	RON	50	0%	0%	Low	5																			
typescript in react	RON	50	0%	0%	Low	11	5.29	36.18																	
microfrontends with angular	RON	50	0%	0%	Low	0																			
convert javascript to typescript	RON	500	0%	0%	Low	2	12.12	85.44																	
angular micro frontend tutorial	RON	50	0%	0%	Low	14																			
& typescript	RON	50	0%	-90%	Low	0																			
* * typescript	RON	50	0%	0%	Low	0																			
30 days of typescript	RON	50	0%	0%	Low	0																			
_ typescript	RON	50	0%	0%	Low	0																			
about typescript	RON	50	0%	0%	Low	0																			
adding typescript	RON	50	0%	0%	Low	0																			
ag grid typescript react	RON	50	0%	-100%	Unknown																				
airbnb typescript	RON	50	0%	0%	Low	0																			
amazon typescript	RON	50	0%	0%	Low	0																			
amplitude js typescript	RON	50	0%	0%	Unknown																				
analytics node typescript	RON	50	0%	-100%	Unknown																				
and typescript	RON	50	0%	-90%	Low	0																			
angular 1 typescript	RON	50	0%	-100%	Unknown																				
angular 11 module federation	RON	50	-100%	0%	Unknown																				
angular 12 micro frontend	RON	50	0%	-100%	Unknown																				
angular 12 module federation	RON	50	0%	-100%	Unknown																				
angular 12 module federation example	RON	50	0%	-100%	Unknown																				
angular 13 micro frontend	RON	50	-100%	0%	Unknown																				
angular 13 module federation	RON	50	0%	-100%	Unknown																				
angular 13 module federation example	RON	50	0%	-100%	Unknown																				
angular 13 typescript	RON	50	0%	-100%	Unknown																				
angular 14 micro frontend	RON	0	0%	0%	Unknown																				
angular 14 microfrontend	RON	0	0%	0%	Unknown																				
angular 14 module federation	RON	50	0%	-100%	Unknown																				
angular 15 micro frontends	RON	50	∞	∞	Low	29																			
angular 2 typescript	RON	50	0%	0%	Low	0																			
angular and typescript	RON	50	0%	0%	Low	4																			
angular architect module federation	RON	50	0%	0%	Low	9																			
angular architects module federation	RON	500	-90%	-90%	Low	0																			
angular architects module federation webpack	RON	50	0%	0%	Low	0																			
angular e typescript	RON	50	0%	0%	Unknown																				
angular elements micro frontends	RON	50	-100%	-100%	Unknown																				
angular federated modules	RON	50	0%	0%	Low	0																			
angular federation	RON	50	0%	0%	Low	0																			
angular for typescript	RON	50	0%	-100%	Unknown																				
angular is typescript	RON	50	0%	0%	Low	0																			
angular javascript typescript	RON	50	∞	0%	Low	5																			
angular mfe	RON	50	0%	0%	Low	1																			
angular mfe module federation	RON	50	0%	0%	Low	0																			
angular mfe tutorial	RON	50	0%	0%	Low	0																			
angular micro apps	RON	50	-100%	-100%	Unknown																				
angular micro front end	RON	50	0%	0%	Low	2																			
angular micro frontend example	RON	50	0%	0%	Low	5																			
angular micro frontend example github	RON	50	0%	-100%	Unknown																				
angular micro frontend module federation	RON	50	0%	0%	Low	2																			
angular micro frontend module federation example	RON	50	∞	0%	Low	0																			
angular micro frontend routing	RON	50	∞	0%	Low	0																			
angular micro ui	RON	50	0%	-100%	Unknown																				
angular microfrontends	RON	500	0%	0%	Low	2																			
angular microservices frontend	RON	50	∞	0%	Low	0																			
angular module federation example	RON	50	0%	0%	Low	0																			
angular module federation github	RON	50	0%	0%	Low	0																			
angular module federation shared library	RON	50	0%	-100%	Unknown																				
angular module federation shared service	RON	50	0%	-100%	Unknown																				
angular module federation tutorial	RON	50	0%	0%	Low	0																			
angular nx micro frontend	RON	50	-100%	-100%	Unknown																				
angular react micro frontend	RON	50	0%	0%	Unknown																				
angular typescript for	RON	50	-100%	-100%	Unknown																				
