Keyword Stats 2026-05-12 at 16_24_12
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
angular university	RON	50	0%	0%	Low	17																			
angular components	RON	50	0%	0%	Low	1																			
angular testing	RON	50	0%	0%	Low	10																			
angular template	RON	50	0%	0%	Low	21	0.77	3.14																	
angular learn	RON	50	0%	0%	Low	29	2.11	6.06																	
angular tutorial	RON	50	0%	-90%	Low	17	2.87	5.67																	
angular material	RON	500	0%	0%	Low	1																			
angular forms	RON	50	0%	0%	Low	2																			
angular guide	RON	50	0%	0%	Low	5																			
angular application	RON	50	0%	0%	Low	0																			
angular design	RON	50	∞	0%	Low	0																			
angular best practices	RON	50	0%	0%	Low	1																			
angular training	RON	50	0%	0%	Low	29																			
angular ui	RON	50	0%	0%	Low	4																			
angular best course	RON	50	0%	-100%	Unknown																				
using angular	RON	50	0%	0%	Unknown																				
angular api	RON	50	∞	0%	Low	0																			
angular university courses	RON	0	0%	0%	Unknown																				
angular signals	RON	500	0%	-90%	Low	7	2.30	3.44																	
angular university io	RON	0	0%	0%	Unknown																				
angular help	RON	50	0%	0%	Unknown																				
angular blog	RON	50	0%	0%	Low	0																			
angular signal	RON	50	0%	0%	Low	3																			
angular services	RON	50	0%	0%	Low	0																			
angular material components	RON	50	0%	0%	Low	1																			
build your application	RON	50	0%	0%	High	83	8.67	52.63																	
angular how to learn	RON	0	0%	-100%	Unknown																				
new angular	RON	50	-100%	-100%	Unknown																				
angular standalone component	RON	50	0%	0%	Low	1																			
angular way	RON	50	0%	0%	Unknown																				
angular 13	RON	50	0%	0%	Low	0																			
angular ecosystem	RON	50	0%	0%	Unknown																				
angular free course	RON	50	0%	0%	Medium	36																			
make your application	RON	50	0%	0%	High	83	8.67	52.63																	
testing it	RON	50	-90%	-90%	High	99	0.81	3.51																	
angular new	RON	50	-100%	-100%	Unknown																				
learn testing	RON	50	0%	0%	Low	0																			
angular input	RON	50	0%	0%	Low	0																			
angular performance optimization	RON	50	0%	0%	Low	14																			
angular min	RON	0	0%	0%	Unknown																				
angular use	RON	50	0%	-100%	Unknown																				
angular 12	RON	50	0%	0%	Low	0																			
best way to learn angular	RON	50	∞	0%	Low	14																			
angular 14	RON	50	0%	0%	Low	4																			
angular 8	RON	50	0%	0%	Low	10																			
