Keyword Stats 2026-05-12 at 16_27_44
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
mysql express	RON	50	0%	0%	Low	2																			
rust go	RON	50	0%	0%	Low	19																			
express postgresql	RON	50	∞	0%	Low	0																			
gin db	RON	0	0%	0%	Unknown																				
jest nest	RON	0	0%	0%	Unknown																				
jwt vue	RON	50	-100%	-100%	Unknown																				
lambda django	RON	50	∞	0%	Low	29																			
middleware vue	RON	50	0%	0%	Unknown																				
router v6	RON	50	0%	∞	High	100																			
rust web framework 2021	RON		 --	 --	Unknown																				
vercel fastapi	RON	50	-100%	-100%	Unknown																				
vue ci cd	RON	50	0%	0%	Unknown																				
vue gsap	RON	50	0%	0%	Unknown																				
