Keyword Stats 2026-05-12 at 16_25_54
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
google developer expert	RON	50	0%	0%	Low	0																			
dev web	RON	5000	0%	900%	Low	2	3.18	9.02																	
dev google	RON	500	0%	0%	Low	5	17.24	17.68																	
developer web	RON	500	0%	0%	Medium	39	2.35	8.83																	
developer net	RON	50	0%	0%	Low	7																			
developer online	RON	50	0%	0%	Low	12																			
google developer que es	RON		 --	 --	Unknown																				
g dev	RON	50	0%	0%	Low	0																			
google programador	RON	0	0%	0%	Unknown																				
software angular	RON	50	0%	0%	Low	0																			
angular guia	RON		 --	 --	Unknown																				
diseño angular	RON		 --	 --	Unknown																				
angular way	RON	50	0%	0%	Unknown																				
angular y	RON	0	0%	0%	Unknown																				
el angular	RON	0	0%	0%	Unknown																				
eng sw	RON	50	∞	0%	Low	0																			
guia angular	RON		 --	 --	Unknown																				
herramienta angular	RON		 --	 --	Unknown																				
iniciar angular	RON		 --	 --	Unknown																				
js google	RON	50	0%	0%	Low	0																			
js next	RON	5000	0%	0%	Low	8	1.87	12.66																	
tools dev	RON	50	0%	∞	Low	0																			
visual dev	RON	50	0%	0%	Low	2																			
